NAME,pop,tract_fire_counts,geoid
"Census Tract 130, San Francisco County, California",4863,208,06075013000
"Census Tract 130, Monterey County, California",3284,208,06053013000
"Census Tract 130, San Diego County, California",6213,208,06073013000
"Census Tract 130, San Luis Obispo County, California",2933,208,06079013000
"Census Tract 308, San Francisco County, California",6584,5,06075030800
"Census Tract 308, Riverside County, California",8537,5,06065030800
"Census Tract 309, San Francisco County, California",7314,4,06075030900
"Census Tract 309, Riverside County, California",3239,4,06065030900
"Census Tract 100, Sierra County, California",2930,3564,06091010000
"Census Tract 100, Alpine County, California",1146,3564,06003010000
"Census Tract 35.01, San Diego County, California",4766,56,06073003501
"Census Tract 35.01, Sacramento County, California",2526,56,06067003501
"Census Tract 35.01, Butte County, California",3557,56,06007003501
"Census Tract 35.01, Tulare County, California",2812,56,06107003501
"Census Tract 52, San Diego County, California",6616,1,06073005200
"Census Tract 52, San Bernardino County, California",4797,1,06071005200
"Census Tract 60, San Diego County, California",4243,2,06073006000
"Census Tract 60, Ventura County, California",5018,2,06111006000
"Census Tract 60, Fresno County, California",9174,2,06019006000
"Census Tract 76, San Diego County, California",4746,466,06073007600
"Census Tract 76, Fresno County, California",4596,466,06019007600
"Census Tract 186.12, San Diego County, California",4115,6,06073018612
"Census Tract 27.07, Santa Barbara County, California",2208,1,06083002707
"Census Tract 27.07, San Diego County, California",5767,1,06073002707
"Census Tract 1.03, Santa Barbara County, California",3212,1665,06083000103
"Census Tract 1.03, Monterey County, California",4386,1665,06053000103
