NAME,pop,state,county,tract,geoid
"Census Tract 133.01, San Diego County, California",5453,06,073,013301,06073013301
"Census Tract 133.03, San Diego County, California",5199,06,073,013303,06073013303
"Census Tract 133.07, San Diego County, California",4982,06,073,013307,06073013307
"Census Tract 134.01, San Diego County, California",4280,06,073,013401,06073013401
"Census Tract 134.15, San Diego County, California",1482,06,073,013415,06073013415
"Census Tract 135.03, San Diego County, California",6365,06,073,013503,06073013503
"Census Tract 135.06, San Diego County, California",4392,06,073,013506,06073013506
"Census Tract 137.02, San Diego County, California",5811,06,073,013702,06073013702
"Census Tract 54, San Diego County, California",7717,06,073,005400,06073005400
"Census Tract 140.02, San Diego County, California",4672,06,073,014002,06073014002
"Census Tract 141.01, San Diego County, California",3502,06,073,014101,06073014101
"Census Tract 148.04, San Diego County, California",4210,06,073,014804,06073014804
"Census Tract 57, San Diego County, California",1612,06,073,005700,06073005700
"Census Tract 58, San Diego County, California",3541,06,073,005800,06073005800
"Census Tract 68.01, San Diego County, California",2861,06,073,006801,06073006801
"Census Tract 186.11, San Diego County, California",9606,06,073,018611,06073018611
"Census Tract 192.03, San Diego County, California",2874,06,073,019203,06073019203
"Census Tract 195.01, San Diego County, California",3749,06,073,019501,06073019501
"Census Tract 198.04, San Diego County, California",4433,06,073,019804,06073019804
"Census Tract 198.05, San Diego County, California",4043,06,073,019805,06073019805
"Census Tract 1232.05, Los Angeles County, California",2615,06,037,123205,06037123205
"Census Tract 2383.10, Los Angeles County, California",5018,06,037,238310,06037238310
"Census Tract 2400.10, Los Angeles County, California",3697,06,037,240010,06037240010
"Census Tract 2406, Los Angeles County, California",6325,06,037,240600,06037240600
"Census Tract 2407, Los Angeles County, California",6367,06,037,240700,06037240700
"Census Tract 2421, Los Angeles County, California",2778,06,037,242100,06037242100
"Census Tract 6037.03, Los Angeles County, California",2513,06,037,603703,06037603703
"Census Tract 6205.01, Los Angeles County, California",6063,06,037,620501,06037620501
"Census Tract 6206.01, Los Angeles County, California",5030,06,037,620601,06037620601
"Census Tract 6208, Los Angeles County, California",7735,06,037,620800,06037620800
"Census Tract 6210.01, Los Angeles County, California",4457,06,037,621001,06037621001
"Census Tract 6212.01, Los Angeles County, California",6601,06,037,621201,06037621201
"Census Tract 6511.01, Los Angeles County, California",5229,06,037,651101,06037651101
"Census Tract 6700.03, Los Angeles County, California",5732,06,037,670003,06037670003
"Census Tract 6702.01, Los Angeles County, California",3812,06,037,670201,06037670201
"Census Tract 6704.07, Los Angeles County, California",6179,06,037,670407,06037670407
"Census Tract 6707.02, Los Angeles County, California",5555,06,037,670702,06037670702
"Census Tract 7006, Los Angeles County, California",5198,06,037,700600,06037700600
"Census Tract 7009.02, Los Angeles County, California",7519,06,037,700902,06037700902
"Census Tract 7016.01, Los Angeles County, California",4411,06,037,701601,06037701601
"Census Tract 5025, Los Angeles County, California",4031,06,037,502500,06037502500
"Census Tract 5026.01, Los Angeles County, California",6855,06,037,502601,06037502601
"Census Tract 5026.02, Los Angeles County, California",4320,06,037,502602,06037502602
"Census Tract 5029.02, Los Angeles County, California",4370,06,037,502902,06037502902
"Census Tract 5034.02, Los Angeles County, California",4125,06,037,503402,06037503402
"Census Tract 5037.01, Los Angeles County, California",4933,06,037,503701,06037503701
"Census Tract 5038.02, Los Angeles County, California",4721,06,037,503802,06037503802
"Census Tract 5301.01, Los Angeles County, California",5371,06,037,530101,06037530101
"Census Tract 5770, Los Angeles County, California",7265,06,037,577000,06037577000
"Census Tract 5990, Los Angeles County, California",3669,06,037,599000,06037599000
"Census Tract 6013.03, Los Angeles County, California",5221,06,037,601303,06037601303
"Census Tract 6021.04, Los Angeles County, California",5861,06,037,602104,06037602104
"Census Tract 1312, Los Angeles County, California",3129,06,037,131200,06037131200
"Census Tract 1895, Los Angeles County, California",4151,06,037,189500,06037189500
"Census Tract 6506.02, Los Angeles County, California",7451,06,037,650602,06037650602
"Census Tract 6509.02, Los Angeles County, California",6776,06,037,650902,06037650902
"Census Tract 1316, Los Angeles County, California",5270,06,037,131600,06037131600
"Census Tract 1327, Los Angeles County, California",5048,06,037,132700,06037132700
"Census Tract 1813, Los Angeles County, California",4058,06,037,181300,06037181300
"Census Tract 1833, Los Angeles County, California",3256,06,037,183300,06037183300
"Census Tract 1835.10, Los Angeles County, California",2612,06,037,183510,06037183510
"Census Tract 5033.12, Santa Clara County, California",3974,06,085,503312,06085503312
"Census Tract 5034.02, Santa Clara County, California",5626,06,085,503402,06085503402
"Census Tract 5035.06, Santa Clara County, California",6735,06,085,503506,06085503506
"Census Tract 45.03, San Bernardino County, California",3658,06,071,004503,06071004503
"Census Tract 39, San Bernardino County, California",5934,06,071,003900,06071003900
"Census Tract 56, San Bernardino County, California",6825,06,071,005600,06071005600
"Census Tract 84.01, San Bernardino County, California",10445,06,071,008401,06071008401
"Census Tract 87.03, San Bernardino County, California",7344,06,071,008703,06071008703
"Census Tract 74.03, San Bernardino County, California",7324,06,071,007403,06071007403
"Census Tract 65, San Bernardino County, California",8032,06,071,006500,06071006500
"Census Tract 71.06, San Bernardino County, California",3972,06,071,007106,06071007106
"Census Tract 72, San Bernardino County, California",6076,06,071,007200,06071007200
"Census Tract 76.01, San Bernardino County, California",7497,06,071,007601,06071007601
"Census Tract 78, San Bernardino County, California",5416,06,071,007800,06071007800
"Census Tract 81, San Bernardino County, California",3238,06,071,008100,06071008100
"Census Tract 88, San Bernardino County, California",5852,06,071,008800,06071008800
"Census Tract 98, San Bernardino County, California",5163,06,071,009800,06071009800
"Census Tract 100.09, San Bernardino County, California",3696,06,071,010009,06071010009
"Census Tract 100.10, San Bernardino County, California",6869,06,071,010010,06071010010
"Census Tract 100.13, San Bernardino County, California",7753,06,071,010013,06071010013
"Census Tract 100.20, San Bernardino County, California",7966,06,071,010020,06071010020
"Census Tract 2012, Napa County, California",4897,06,055,201200,06055201200
"Census Tract 428, San Francisco County, California",2490,06,075,042800,06075042800
"Census Tract 234, San Francisco County, California",3663,06,075,023400,06075023400
"Census Tract 165, San Francisco County, California",5487,06,075,016500,06075016500
"Census Tract 307, San Francisco County, California",7022,06,075,030700,06075030700
"Census Tract 351, San Francisco County, California",9053,06,075,035100,06075035100
"Census Tract 130, San Francisco County, California",4863,06,075,013000,06075013000
"Census Tract 260.02, San Francisco County, California",3527,06,075,026002,06075026002
"Census Tract 264.02, San Francisco County, California",5164,06,075,026402,06075026402
"Census Tract 303.01, San Francisco County, California",5663,06,075,030301,06075030301
"Census Tract 308, San Francisco County, California",6584,06,075,030800,06075030800
"Census Tract 254.02, San Francisco County, California",3284,06,075,025402,06075025402
"Census Tract 479.01, San Francisco County, California",7597,06,075,047901,06075047901
"Census Tract 262, San Francisco County, California",7583,06,075,026200,06075026200
"Census Tract 216, San Francisco County, California",4345,06,075,021600,06075021600
"Census Tract 309, San Francisco County, California",7314,06,075,030900,06075030900
"Census Tract 100, Sierra County, California",2930,06,091,010000,06091010000
"Census Tract 35.01, San Diego County, California",4766,06,073,003501,06073003501
"Census Tract 52, San Diego County, California",6616,06,073,005200,06073005200
